import time: self [us] | cumulative | imported package
import time:      6201 |       6201 |       stripe._invoice
import time:       773 |        773 |         stripe._invoice_line_item
import time:       513 |       1286 |       stripe._invoice_line_item_service
import time:      4042 |      11528 |     stripe._invoice_service
import time:       447 |        447 |       stripe._invoice_payment
import time:       335 |        781 |     stripe._invoice_payment_service
import time:       425 |        425 |       stripe._invoice_rendering_template
import time:       323 |        747 |     stripe._invoice_rendering_template_service
import time:       863 |        863 |       stripe._invoice_item
import time:       600 |       1462 |     stripe._invoice_item_service
import time:       271 |        271 |     stripe._issuing_service
import time:       899 |        899 |       stripe._mandate
import time:       265 |       1163 |     stripe._mandate_service
import time:     12833 |      12833 |       stripe._payment_intent
import time:     10223 |      23056 |     stripe._payment_intent_service
import time:      3184 |       3184 |       stripe._payment_link
import time:       343 |        343 |       stripe._payment_link_line_item_service
import time:      2278 |       5804 |     stripe._payment_link_service
import time:      2106 |       2106 |     stripe._payment_method_service
import time:      5053 |       5053 |       stripe._payment_method_configuration
import time:      4570 |       9622 |     stripe._payment_method_configuration_service
import time:       568 |        568 |       stripe._payment_method_domain
import time:       428 |        995 |     stripe._payment_method_domain_service
import time:       773 |        773 |       stripe._payout
import time:       464 |       1237 |     stripe._payout_service
import time:       713 |        713 |       stripe._plan
import time:       544 |       1257 |     stripe._plan_service
import time:      1017 |       1017 |       stripe._price
import time:       799 |       1815 |     stripe._price_service
import time:      1122 |       1122 |       stripe._product
import time:       264 |        264 |         stripe._product_feature
import time:       336 |        600 |       stripe._product_feature_service
import time:       761 |       2482 |     stripe._product_service
import time:       648 |        648 |       stripe._promotion_code
import time:       482 |       1130 |     stripe._promotion_code_service
import time:      1765 |       1765 |       stripe._quote
import time:       299 |        299 |       stripe._quote_computed_upfront_line_items_service
import time:       269 |        269 |       stripe._quote_line_item_service
import time:      1078 |       3409 |     stripe._quote_service
import time:       597 |        597 |           stripe.radar._early_fraud_warning
import time:       364 |        364 |           stripe.radar._early_fraud_warning_service
import time:       781 |        781 |           stripe.radar._value_list
import time:       474 |        474 |           stripe.radar._value_list_item
import time:       366 |        366 |           stripe.radar._value_list_item_service
import time:       367 |        367 |           stripe.radar._value_list_service
import time:       288 |       3235 |         stripe.radar
import time:        14 |       3249 |       stripe.radar._early_fraud_warning_service
import time:       278 |       3527 |     stripe._radar_service
import time:       419 |        419 |     stripe._refund_service
import time:      1189 |       1189 |           stripe.reporting._report_run
import time:       907 |        907 |           stripe.reporting._report_run_service
import time:       313 |        313 |           stripe.reporting._report_type
import time:       241 |        241 |           stripe.reporting._report_type_service
import time:       260 |       2908 |         stripe.reporting
import time:        13 |       2921 |       stripe.reporting._report_run_service
import time:       265 |       3186 |     stripe._reporting_service
import time:       421 |        421 |       stripe._review
import time:       338 |        758 |     stripe._review_service
import time:       580 |        580 |           stripe.sigma._scheduled_query_run
import time:       360 |        360 |           stripe.sigma._scheduled_query_run_service
import time:       219 |       1157 |         stripe.sigma
import time:        14 |       1171 |       stripe.sigma._scheduled_query_run_service
import time:       306 |       1476 |     stripe._sigma_service
import time:      1160 |       1160 |       stripe._setup_attempt
import time:       282 |       1441 |     stripe._setup_attempt_service
import time:      6536 |       6536 |       stripe._setup_intent
import time:     10282 |      16818 |     stripe._setup_intent_service
import time:       781 |        781 |       stripe._shipping_rate
import time:       786 |       1567 |     stripe._shipping_rate_service
import time:       297 |        297 |         stripe._source_transaction
import time:       229 |        525 |       stripe._source_transaction_service
import time:      1053 |       1578 |     stripe._source_service
import time:      3552 |       3552 |       stripe._subscription
import time:      2321 |       5873 |     stripe._subscription_service
import time:       882 |        882 |       stripe._subscription_item
import time:       672 |       1553 |     stripe._subscription_item_service
import time:      2945 |       2945 |       stripe._subscription_schedule
import time:      2094 |       5038 |     stripe._subscription_schedule_service
import time:      1094 |       1094 |           stripe.tax._calculation
import time:       290 |        290 |           stripe.tax._calculation_line_item
import time:       235 |        235 |           stripe.tax._calculation_line_item_service
import time:       424 |        424 |           stripe.tax._calculation_service
import time:      5131 |       5131 |           stripe.tax._registration
import time:      3982 |       3982 |           stripe.tax._registration_service
import time:       648 |        648 |           stripe.tax._settings
import time:       380 |        380 |           stripe.tax._settings_service
import time:       649 |        649 |           stripe.tax._transaction
import time:       279 |        279 |           stripe.tax._transaction_line_item
import time:       282 |        282 |           stripe.tax._transaction_line_item_service
import time:       368 |        368 |           stripe.tax._transaction_service
import time:       250 |      14007 |         stripe.tax
import time:        16 |      14023 |       stripe.tax._calculation_service
import time:       306 |      14329 |     stripe._tax_service
import time:       384 |        384 |       stripe._tax_code
import time:       306 |        689 |     stripe._tax_code_service
import time:       397 |        397 |     stripe._tax_id_service
import time:       568 |        568 |       stripe._tax_rate
import time:       378 |        946 |     stripe._tax_rate_service
import time:       252 |        252 |     stripe._terminal_service
import time:      1759 |       1759 |       stripe._token
import time:      1468 |       3226 |     stripe._token_service
import time:       542 |        542 |       stripe._topup
import time:       409 |        951 |     stripe._topup_service
